Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Date,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Tube_Count
420,189,H.wagneriana,Garden,G-WAG-04,HP,1000,Pino_Colina,PC-WAG-11,20190315,L,NA,NA,NA,0
424,190,H.wagneriana,Pino_Colina,PC-WAG-01,HP,800,Garden,G-WAG-03,20190316,L,NA,NA,NA,2
426,191,H.wagneriana,Pino_Colina,PC-WAG-02,PM,830,Garden,G-WAG-03,20190316,L,NA,NA,0,1
425,191,H.wagneriana,Pino_Colina,PC-WAG-02,HP,830,Garden,G-WAG-03,20190316,L,NA,NA,NA,0
427,192,H.wagneriana,Pino_Colina,PC-WAG-11,PM,830,Pino_Colina,PC-WAG-02,20190316,L,NA,NA,0,1
428,192,H.wagneriana,Pino_Colina,PC-WAG-11,HP,830,Pino_Colina,PC-WAG-02,20190316,L,NA,NA,NA,1
436,196,H.wagneriana,Pino_Colina,PC-WAG-12,PM,900,Pino_Colina,PC-WAG-04,20190316,L,NA,NA,0,6
438,197,H.wagneriana,Pino_Colina,PC-WAG-08,PM,930,Pino_Colina,PC-WAG-04,20190316,L,NA,NA,0,2
439,197,H.wagneriana,Pino_Colina,PC-WAG-08,HP,930,Pino_Colina,PC-WAG-04,20190316,L,NA,NA,NA,4
462,208,H.wagneriana,Pino_Colina,PC-WAG-04,HP,830,Garden,G-WAG-03,20190320,L,NA,NA,NA,0
